Date,Star
2022.11.07,5
2022.02.06,5
2022.02.14,5
2022.01.11,5
2021.11.25,5
2021.11.26,4
2023.09.18,5
2022.07.15,5
2022.05.13,5
2022.03.09,5
2022.03.31,5
2022.11.08,5
2024.05.22,4
2022.06.23,5
2022.02.22,5
2022.04.22,5
2022.04.20,5
2022.03.27,5
2021.11.02,5
2021.11.20,5
2022.10.07,1
2022.04.20,5
2023.02.20,2
2022.12.21,5
2022.09.05,5
2022.08.02,4
2022.04.13,2
2021.12.12,5
2022.10.27,5
2022.10.02,5
2022.04.10,5
2022.02.01,5
2024.08.26,5
2021.12.09,1
2022.01.14,5
2023.07.16,5
2024.03.19,5
2023.01.06,4
2022.10.15,5
2021.11.18,5
2022.10.20,5
2022.10.10,5
2022.03.30,1
2022.03.24,4
2021.11.26,5
2024.03.07,5
2022.07.14,5
2022.06.15,5
2023.03.27,5
2022.01.18,5
2022.01.13,5
2022.09.02,5
2022.02.17,5
2022.05.03,5
2024.01.20,5
2022.08.20,1
2022.03.13,4
2022.10.06,5
2022.04.30,5
2022.03.05,4
2023.01.22,5
2023.05.29,5
2022.12.23,5
2022.02.15,5
2021.11.07,5
2022.01.01,5
2023.03.06,5
2023.02.02,4
2022.06.12,4
2022.05.21,5
2022.05.10,5
2022.10.17,5
2022.04.19,5
2022.02.02,5
2021.11.02,5
2023.04.05,5
2024.01.17,5
2021.11.10,5
2021.11.02,4
2024.08.14,5
2022.03.10,5
2022.03.16,1
2021.12.07,1
2021.11.22,5
2023.02.16,1
2022.11.16,5
2022.05.04,5
2021.11.28,5
2021.12.07,5
2022.05.30,5
2022.02.06,4
2022.08.26,5
2022.03.13,1
2024.01.20,5
2023.02.10,5
2022.05.26,5
2022.01.29,5
2022.01.09,5
2022.07.05,5
2022.07.01,5
2022.04.16,1
2022.04.17,5
2022.01.11,4
2024.01.21,5
2022.04.11,5
2022.01.23,5
2021.11.05,5
2021.12.01,5
2022.06.18,5
2022.05.05,1
2021.11.07,5
2023.07.06,1
2022.08.23,5
2022.02.14,4
2021.12.28,4
2022.10.31,5
2022.04.16,5
2022.02.13,5
2024.03.27,5
2024.02.09,5
2022.09.04,5
2022.08.06,5
2022.06.17,5
2022.01.20,5
2022.01.09,5
2023.01.11,5
2022.10.21,4
2022.04.10,5
2021.12.03,5
2023.01.21,5
2022.03.01,5
2022.01.07,5
2022.11.13,5
2022.05.14,5
2022.01.23,5
2022.01.21,5
2022.03.06,5
2021.11.14,5
2023.11.05,5
2022.08.12,5
2022.05.30,4
2022.02.27,5
2022.01.14,5
2021.12.28,5
2022.02.26,5
2022.02.14,5
2022.01.15,5
2021.11.07,5
2021.11.07,5
2024.05.22,5
2022.05.14,5
2022.04.13,5
2022.02.15,5
2022.01.16,5
2024.06.05,5
2024.02.10,5
2024.08.26,2
2023.04.23,5
2022.08.07,4
2022.03.31,5
2021.11.12,5
2023.02.28,5
2022.05.05,5
2021.11.20,5
2021.11.03,4
2023.11.28,5
2023.01.24,5
2024.04.06,5
2023.04.30,2
2022.08.09,5
2022.03.11,5
2021.12.09,5
2021.11.03,5
2021.12.06,5
2022.09.20,5
2022.08.01,4
2022.07.05,5
2022.01.01,5
2022.07.03,5
2022.05.12,5
2021.12.18,5
2024.02.18,5
2022.12.14,4
2022.07.27,5
2022.02.10,5
2021.11.03,5
2021.11.26,5
2024.02.22,5
2022.12.23,5
2022.08.16,2
2022.01.14,5
2021.11.04,5
2023.10.21,5
2022.08.26,5
2022.04.23,5
2022.03.01,5
2022.01.14,1
2021.12.08,5
2022.03.10,5
2021.12.11,4
2021.11.17,5
2023.09.18,5
2022.04.29,1
2022.04.05,5
2022.02.06,4
2022.09.10,5
2022.05.28,5
2022.02.28,5
2022.01.22,3
2021.12.08,5
2021.11.11,5
2023.06.04,5
2022.12.29,5
2022.05.22,5
2022.03.30,5
2022.01.23,5
